store_id,uptime_last_hour (in minutes),uptime_last_day (in hours),uptime_last_week (in hours),downtime_last_hour (in minutes),downtime_last_day (in hours),downtime_last_week (in hours)
8351626913391661712,58,11,85,0,0,0
5862018505325645141,58,23,143,0,0,0
5258636608045275414,58,12,64,0,0,12
2210112352008225407,58,12,64,0,0,12
1550203968025891397,58,7,77,0,0,0
4700126197558507078,58,9,76,0,0,10
7899443069958412222,0,10,29,0,0,22
2084408227330299352,0,0,0,58,8,52
9065258809385046852,58,23,143,0,0,0
8499292315801226911,0,0,6,0,6,34
3931626460410511643,0,0,0,0,9,54
5075099231683773717,58,9,71,0,0,0
1263148699626180330,0,0,0,58,23,143
339216504037933986,0,0,0,0,12,72
2591471974319711724,0,7,49,0,0,7
2863460864742291594,0,0,0,58,23,143
399931815373935075,0,0,9,58,14,76
3223584092561005977,13,13,69,0,0,13
7966661384416535769,58,9,49,0,0,6
3928074666716925785,58,9,73,0,0,0
6267688478447013254,58,23,143,0,0,0
1636804433820033877,58,23,143,0,0,0
2415128931180274823,58,13,67,0,0,11
2513116816266686001,58,23,143,0,0,0
2026094295649558813,58,16,101,0,0,0
8924176878030049525,58,23,143,0,0,0
3531745707655884531,58,23,113,0,0,29
6180038541867353479,0,0,0,13,9,73
8494685748798775293,58,23,143,0,0,0
6545047891104875621,58,13,67,0,0,11
5117163833535029982,58,15,79,0,0,15
2155096412515981575,0,0,29,0,9,27
4829410254877354393,13,13,64,0,0,9
4347659614652875346,58,23,143,0,0,0
6588866137740722163,58,9,48,0,0,7
171819201025808799,58,13,67,0,0,10
262841265877764950,58,15,77,0,0,14
8042276160439219301,58,12,64,0,0,13
6673937918210303628,58,23,143,0,0,0
2787896858623769293,0,13,51,0,0,7
2880740642542319726,58,8,43,0,0,8
6333511700688652982,0,11,67,0,0,11
8251575465856044992,58,16,101,0,0,0
81559780630790716,0,0,0,0,7,47
9064645233606218224,58,23,143,0,0,0
7435673831034556995,0,4,18,0,0,9
5983840469086541099,0,0,0,58,9,59
231926578378663872,45,4,50,13,6,16
2046022316016370677,58,12,64,0,0,13
8075141375282151098,58,12,25,0,0,50
5328081464383523419,0,0,0,58,23,143
572482605434331319,58,16,98,0,0,0
1331496819517863937,0,0,0,58,23,143
2578577599122607800,0,0,0,0,4,27
4900000786372499315,58,23,143,0,0,0
1318561821610550108,58,23,143,0,0,0
4116101600089123521,0,10,65,0,0,6
9209379380445186178,0,0,0,59,12,79
7250561679095390438,58,10,54,0,0,11
2681100608050207944,58,12,73,0,0,0
2503462404073217222,0,0,0,59,23,143
1316190527429222674,0,1,34,58,22,108
1627278740887254065,0,0,22,58,12,55
5183090772613686032,58,23,143,0,0,0
1209402228564517444,58,12,64,0,0,13
854224455102739323,0,0,50,58,23,93
6065745739958044440,58,17,100,0,0,0
6929197680265052642,13,13,69,0,0,13
6861838614706138616,58,13,83,0,0,0
4282973860125813733,0,0,0,0,10,61
728425969500694950,0,0,36,58,23,106
